merchant_mask;gen_industry;segment_type;in_market;gmv;orders;shows;above_market_shows;below_market_shows;clicks;do_clicks;share_above_market;share_below_market;share_normal;share_too_few_offers
Гораистан;Other;nano;no_market;889;2;13239;0;0;687;89;;1;0;0
Еленбург-10579;DIY;medium;market;4251;3;69162;8453;6792;1010;89;;0,6126;0,2444;0,031
Горенсково;Fashion;nano;no_market;1876;5;52828;0;0;665;89;;;;
Камуринск-10581;Home;medium;no_market;35648;2;99903;151;120;1112;89;;0,3292;0,0724;0,0317
Финовкент;Pharma;medium;no_market;94805;13;89206;33657;27530;1495;89;;0,9187;0,0812;0,0002
Озероельск;Home;nano;no_market;0;0;22401;6;0;722;89;;0,5882;0,2085;0,1709
Ясдористан-10584;CEHAC;small;no_market;124312;3;90789;34585;22877;1492;89;;0,4967;0,3496;0,0167
Таинридж;DIY;small;no_market;357;1;53347;1517;1861;1081;89;;0,4794;0,4471;0,0157
Эльвилполис-10586;DIY;small;no_market;0;0;34465;1990;1010;1465;89;;0,9622;0,0005;0
Фингринхилл;Home;small;no_market;2184;1;22457;0;0;642;89;;0,3175;0,619;0,0635
Скалдорполис;Other;nano;no_market;2;1;79145;0;0;1069;89;;0,9348;0,0637;0,0014
Старельридж;DIY;small;no_market;1325;2;21023;4219;2188;504;89;;0,5532;0,1584;0,0197
Светальоград;Fashion;nano;no_market;66;1;68804;0;0;529;89;;0,1047;0,0534;0,0789
Волтеремир;CEHAC;small;no_market;435;3;14378;8630;4495;376;89;;0,214;0,3887;0,0013
Устиридж;DIY;nano;no_market;0;0;44035;0;0;851;89;;0,4774;0,3178;0,0077
Росольчестер;DIY;nano;no_market;115;4;17499;55;1;631;88;;0,9091;0,069;0,0125
Радуринск-10594;FMCG;small;no_market;456;15;50688;9863;8138;1365;88;;0,7613;0,1126;0,0537
Тихеск;Other;small;no_market;995;3;68915;0;0;1303;88;;0,5496;0,0791;0,265
Росельтаун;DIY;nano;no_market;0;0;13421;0;0;476;88;;0,9176;0,0595;0,0222
Ладовтаун;DIY;nano;no_market;0;0;15995;2508;596;418;88;;0,8181;0,1246;0,0185
Финольельск;DIY;small;no_market;4;2;46423;0;0;808;88;;;;
Невтерридж;Fashion;nano;no_market;614;1;21877;0;0;476;88;;0,4636;0,5143;0,0002
Невартаун;Other;small;no_market;0;0;34694;0;0;629;88;;0,6333;0,0485;0,3182
Елгринбург;CEHAC;nano;no_market;0;0;14429;3248;4403;320;88;;0,3124;0,3049;0,0023
Северонридж;DIY;nano;no_market;0;0;289582;0;0;1834;88;;;;
Эльаистан;CEHAC;small;no_market;2177;4;57275;5342;5315;1379;88;;0,4647;0,2956;0,0049
Белельинск;DIY;nano;no_market;24768;4;74909;1492;1478;1731;88;;0,6171;0,2065;0,0346
Таонемир;Other;small;no_market;0;0;86604;0;0;10533;88;;;;
Горорорск;FMCG;medium;no_market;0;0;42922;26778;14700;561;88;;0,3987;0,4478;0,0013
Берхолмхилл;DIY;small;no_market;28198;4;99590;4570;2037;1517;88;;0,7616;0,2176;0,0068
Зорерорск;Other;small;no_market;674945;15;55184;0;0;3265;88;;0,1932;0,1827;0,4447
Велинград;FMCG;nano;no_market;3465;1;5647;3905;404;165;88;;0,9419;0,0057;0,0065
Даряртаун;DIY;small;no_market;369;5;19814;684;647;1002;88;;0,623;0,0499;0,0337
Лесаск-10611;Other;nano;no_market;6761;4;46069;0;0;700;88;;;;
Долитаун;DIY;small;no_market;140743;2;64917;0;0;1581;88;;0,3412;0,3449;0,012
Волальпорт;CEHAC;medium;no_market;0;0;19232;6687;4017;479;88;;0,6707;0,2557;0,0048
Норделсково;DIY;nano;no_market;22;2;25568;1;0;521;88;;0,7292;0,0625;0,0417
Солнуюридж;CEHAC;small;no_market;4328;5;33552;9563;2737;648;88;;0,6171;0,2437;0,0363
Солнбриново;FMCG;medium;no_market;39162;16;324597;22303;14235;6016;88;;0,5675;0,3326;0,0019
Приайинск;Other;big;no_market;18175;14;87667;8;3;806;88;;0,5216;0,3512;0,0555
Долмарово;DIY;nano;no_market;7709;2;15496;632;124;526;88;;0,5085;0,2909;0,0957
Ярланбург;DIY;small;no_market;0;0;91015;33508;41174;1556;88;;0,3507;0,5928;0
Портарполис;DIY;nano;no_market;0;0;35311;0;0;484;88;;0,0423;0,0188;0,446
Устдельоград-10621;DIY;nano;no_market;20;1;8330;826;89;379;88;;0,951;0,0319;0,0137
Тадельбург;Fashion;small;no_market;0;0;34146;406;194;1015;88;;0,3922;0,2383;0,2157
Северольино-10623;Fashion;nano;no_market;0;0;44417;0;0;942;88;;;;
Эльмаремир-10624;DIY;small;no_market;59775;1;89760;675;371;1502;88;;0,6909;0,2538;0,0083
Скалольинск;Home;nano;no_market;75;2;32797;548;505;1128;88;;0,4931;0,5069;0
Финонтаун;Other;small;no_market;1072;3;37250;142;88;1491;88;;0,845;0,0759;0,0533
Белелбург;DIY;small;no_market;3231;2;55505;3243;2690;1447;88;;0,7352;0,1711;0,0209
Беравемир;CEHAC;small;no_market;75;2;41203;0;0;779;88;;0,1761;0,0023;0,6772
Светельтаун-10629;DIY;small;no_market;124539;5;41898;5524;610;730;88;;0,8761;0,0898;0,0188
Клиненинск-10630;DIY;medium;no_market;1278216;1;80772;3423;2960;2055;88;;0,4255;0,4852;0,007
Волкарорск-10631;Pharma;nano;no_market;7089;3;25418;3924;3105;1180;88;;0,31;0,3173;0,0561
Севергринвиль-10632;DIY;small;no_market;51;4;79457;3;0;8575;88;;0,1547;0,2911;0,4459
Южлантаун;DIY;small;no_market;0;0;76447;10361;8995;1415;88;;0,399;0,4845;0,0688
Устаград;Home;nano;no_market;0;0;23082;0;0;601;88;;0,6118;0,1846;0,0552
Веленск;FMCG;small;no_market;13;2;40189;0;0;1734;88;;;;
Лунярград;Other;nano;no_market;7185;5;67171;53;52;1641;88;;0,7078;0,1912;0,0078
Елевоград;Other;nano;no_market;100;1;33140;1183;517;537;88;;0,9848;0;0
Белайбург;CEHAC;small;no_market;325;1;47443;6127;3816;781;88;;0,417;0,4993;0,0457
Орепорт;DIY;nano;no_market;0;0;46123;0;2;893;88;;;;
Царирово;DIY;small;no_market;0;0;33814;0;0;877;88;;0,5141;0,0717;0,0211
Камланполис;Other;nano;no_market;0;0;9633;1;0;237;88;;0,9975;0,0025;0
Волвиново;DIY;nano;no_market;0;0;23016;0;9;798;88;;0,1865;0,2385;0,0269
Южоово;CEHAC;nano;no_market;146316;8;75519;3202;1795;786;88;;0,657;0,2833;0
Радайемир-10644;Other;small;no_market;2046;7;23579;45;45;855;88;;0,5652;0,4022;0
Терелоград;CEHAC;nano;no_market;0;0;53319;10604;4956;755;88;;0,8064;0,18;0,0005
Портурск;Other;nano;no_market;0;0;12064;0;0;286;88;;;;
Елоград;DIY;nano;no_market;1554;2;42865;76;33;801;88;;0,559;0,1652;0,0036
Южихилл;CEHAC;small;no_market;6262;22;66824;45774;55299;2641;88;;0,2979;0,6543;0,0199
Горполридж;FMCG;medium;no_market;21071;2;75929;0;0;1011;88;;0;1;0
Оронбург;DIY;small;no_market;10884;9;28307;0;0;1756;88;;0,3126;0,5693;0,0394
Малмирчестер;DIY;small;no_market;279906;6;65122;15760;13472;1148;88;;0,4426;0,2911;0,0111
Зораинск;Other;nano;no_market;0;0;66336;492;480;1333;88;;0,3385;0,1887;0,1741
Лунивиль;Other;medium;no_market;105772;26;409874;41;0;6911;88;;0,5545;0,3694;0,0746
Клинвинино;DIY;medium;no_market;22696;2;59819;3446;2882;2084;88;;0,6519;0,2861;0,0081
Царирбург-10655;Pharma;nano;market;2575;11;10273;1465;210;357;88;;0,976;0,0197;0,0033
Царкарридж;FMCG;small;market;0;0;70028;638;793;801;88;;0,2146;0,3641;0,2037
Мирфордград-10657;Home;nano;no_market;1399;1;18841;0;0;611;88;;;;
Росилград;Fashion;small;no_market;33128;4;21223;0;0;1029;88;;1;0;0
Северилистан;DIY;medium;no_market;2962;1;70677;0;0;1205;88;;0,2427;0,2;0,0477
Лесвилбург;CEHAC;nano;no_market;0;0;25247;0;0;497;87;;0,0938;0,0625;0,8438
Радбургоград;DIY;nano;no_market;325;1;17895;2041;203;465;87;;0,8992;0,0453;0
Ладкарск-10662;DIY;medium;market;275;3;142657;4032;4586;5762;87;;0,4615;0,3521;0,0423
Долертаун;DIY;small;no_market;142117;3;49064;872;804;928;87;;0,68;0,1621;0,0713
Илхолмемир;Home;small;no_market;985;6;60595;1206;889;2025;87;;0,3759;0,3406;0,105
Клинуельск;Home;medium;no_market;0;0;37262;0;0;819;87;;0,1321;0,117;0,0491
Нордевистан;Home;medium;no_market;3853;2;21500;49;49;651;87;;0,3875;0,0125;0,2125
Чистанистан;Other;small;no_market;177;4;24319;0;0;813;87;;0,909;0,0837;0,0073
Аральино-10668;Fashion;nano;no_market;0;0;67047;0;0;406;87;;;;
Дарерград;DIY;medium;no_market;0;0;32653;86;0;826;87;;0,2819;0,5839;0,047
Ярбриново;DIY;nano;market;40499;2;18510;11347;7064;613;87;;0,5935;0,1214;0,0072
Финонск;DIY;medium;no_market;0;0;87179;322;225;923;87;;0,1339;0,4803;0,0066
Росвилкент;Fashion;small;no_market;48;2;71116;0;0;1019;87;;0,4537;0,0417;0,4838
Невстоистан-10673;DIY;nano;no_market;0;0;21824;266;193;421;87;;0,3181;0,5748;0,0081
Росмаринск;Pharma;small;no_market;7119;3;45028;24016;20736;728;87;;0,3975;0,359;0,0142
Илинпорт-10675;CEHAC;small;no_market;45478;14;111892;6185;4878;3149;87;;0,5053;0,3527;0,0114
Ороринск;DIY;medium;no_market;814502;8;51727;6202;2241;2966;87;;0,8251;0,1637;0,0023
Илвилридж;DIY;small;no_market;1779;1;22000;199;22;568;87;;0,7582;0,0759;0,0985
Придоремир;DIY;nano;market;447;4;31133;1231;590;1174;87;;0,4282;0,3816;0,0366
Южальск;Home;nano;no_market;0;0;18118;0;0;401;87;;1;0;0
Южиноград-10680;Other;nano;no_market;14364;1;4685;0;0;223;87;;1;0;0
Бервилкент;Other;medium;no_market;34545;4;29801;0;0;660;87;;0,2;0;0,8
Чистинчестер;DIY;nano;no_market;325;1;37629;0;25;942;87;;0,0667;0,1;0
Бердороград;Fashion;nano;no_market;0;0;69936;0;0;671;87;;0,9206;0,0637;0,0126
Илполпорт;DIY;medium;no_market;137348;7;132333;12861;12870;3507;87;;0,4536;0,3311;0,0324
Озербургино;Other;medium;no_market;0;0;38036;1787;2116;791;87;;0,1584;0,4863;0,0209
