merchant_mask;gen_industry;segment_type;in_market;gmv;orders;shows;above_market_shows;below_market_shows;clicks;do_clicks;share_above_market;share_below_market;share_normal;share_too_few_offers
Скалорск;Fashion;top100;no_market;853168803;263685;1063737174;119493005;56497050;33820628;3579272;0,0279;0,8532;0,1114;0,0075
Ясирино;Fashion;top100;no_market;411267636;185782;1006961965;117779900;60383575;25751166;2844919;0,0523;0,7665;0,1439;0,0372
Приавполис;Pharma;top100;no_market;225331800;148414;320610848;216129675;180131896;9515398;1532633;0,0014;0,9511;0,0473;0,0001
Финкарбург;CEHAC;top100;no_market;374449880;67286;871166745;72641512;79751087;15886947;1187331;0,2008;0,4643;0,2626;0,0724
Орвилград;Pharma;top100;no_market;241783910;196272;230920956;179186832;42957745;6093315;1015033;0,0007;0,9913;0,0079;0,0001
Белерово;Pharma;top100;no_market;22321085;16301;133634172;106006484;31206039;3199136;907996;0,0293;0,8644;0,1062;0,0001
Примарридж;Pharma;top100;no_market;110548942;72212;159459797;138011026;35319620;3861676;776341;0,0027;0,9861;0,011;0,0002
Белбриново;CEHAC;top100;no_market;696000000;36412;181478135;116340717;57992792;5729288;712602;0,0388;0,7045;0,2533;0,0034
Эльвинпорт;DIY;top100;market;1253949725;86093;200129349;17522383;9022930;6301939;497499;0,0408;0,8001;0,1528;0,0063
Лесилистан;Pharma;top100;no_market;23117185;16239;52247092;41131129;16944202;1262455;414853;0,001;0,9715;0,0274;0
Орирск;Pharma;top100;market;16549795;8235;98214913;78454562;31658452;1648983;345954;0,0025;0,9869;0,0105;0,0001
Ладвилорск;Other;big;no_market;58195410;17478;177106507;6222212;3129105;3942608;325457;0,0506;0,7299;0,124;0,0956
Тихеново;Pharma;top100;no_market;17700973;12394;59360457;33880040;20760509;1080752;320765;0,0131;0,9028;0,0839;0,0002
Царинбург;Fashion;big;no_market;48575556;2916;121191767;29807181;21516259;1577583;307188;0,065;0,6689;0,2562;0,0099
Старинельск;Other;top100;no_market;15654919;6077;60441079;7517713;4109815;1065349;257329;0,0825;0,7061;0,1903;0,021
Ярстосково;Pharma;top100;no_market;67392593;51274;89473016;68501345;29246193;1859855;251564;0,0025;0,9758;0,0217;0,0001
Велтерпорт;CEHAC;top100;no_market;108855701;15244;87779349;24814645;17977188;1647200;228337;0,0391;0,7333;0,2241;0,0036
Зорольбург;FMCG;top100;no_market;54374831;2476;42701849;6399462;2954114;756405;224801;0,0438;0,6867;0,1955;0,074
Маловридж;Pharma;medium;no_market;12955476;5324;31126266;19480964;6145208;613293;213627;0,014;0,9263;0,0596;0,0001
Новдельово;Pharma;top100;no_market;10791125;8343;45671879;26966580;8710124;975482;212345;0,029;0,8193;0,1509;0,0008
Эльуград;CEHAC;top100;no_market;236691358;14435;104542937;9118658;10588854;2361068;190946;0,1582;0,387;0,4349;0,0198
Уралилинск;CEHAC;top100;no_market;7668686;1056;48304887;5647598;5168344;940420;160601;0,1294;0,555;0,2783;0,0373
Елилполис;Pharma;top100;market;43030042;25879;113356917;81257734;53733939;1825192;143024;0,0048;0,9224;0,0727;0
Стариристан;FMCG;top100;market;13849294;3989;45839805;18807485;12423509;1225538;140521;0,1215;0,6626;0,2124;0,0035
Скалельвиль;Other;medium;no_market;7261873;1296;16255078;186211;51706;294032;137374;0,0256;0,7727;0,1272;0,0746
Новальово;DIY;top100;no_market;57927899;6792;60360399;3600823;1525186;1640775;136849;0,0128;0,9429;0,041;0,0033
Уралирбург;DIY;top100;no_market;86823053;5060;47936309;5045087;3211438;999433;134638;0,0906;0,5749;0,3275;0,007
Портхолмвиль;Pharma;big;market;36080113;18483;123101119;75492564;58162024;1702415;125080;0,0026;0,8876;0,1097;0,0002
Лунонвиль;Home;medium;no_market;85233;574;38613727;11103;2626;705012;115710;0,0932;0,5176;0,2087;0,1805
Солнольсково;Fashion;big;no_market;2699928;647;92936061;1496821;1502297;1155133;111678;0,1268;0,5351;0,3133;0,0248
Скалбринино;FMCG;top100;no_market;31036123;6291;50320999;21718982;10964743;1414273;110825;0,0288;0,8595;0,1082;0,0035
Финайград;Other;top100;no_market;4245630;4022;46169950;97557;84459;860596;110762;0,0508;0,7024;0,2239;0,023
Прииорск;Other;medium;no_market;3075389;301;56087573;3354064;2087447;812687;102192;0,1778;0,5138;0,2905;0,0179
Волирбург;Home;top100;market;20430761;3222;47975859;3757446;1227267;676012;99264;0,0361;0,7472;0,1747;0,042
Озердельорск;CEHAC;top100;market;147000000;9745;31088627;17581401;13003457;984548;75598;0,052;0,6992;0,2464;0,0023
Озервинкент;Other;big;no_market;49285043;14997;25658859;105791;76434;581626;73753;0,1203;0,3886;0,291;0,2002
Волвинистан;Home;big;market;6001157;2291;25629974;2367622;749958;384154;73065;0,0118;0,9011;0,0854;0,0017
Камантаун;Other;big;no_market;141000000;8917;30738684;97649;46335;981046;71764;0,0546;0,6544;0,0816;0,2093
Радбринпорт;Pharma;top100;no_market;19674308;12545;43868534;18582337;25983011;866911;70211;0,057;0,4543;0,4885;0,0002
Севергринемир;Pharma;big;no_market;10648489;5301;22883182;14045660;14209417;405966;69458;0,0635;0,4717;0,4647;0,0001
Орярельск;CEHAC;big;no_market;162000000;2409;39879875;22144849;10448242;499315;69402;0,0012;0,9238;0,075;0
Приавчестер;;;no_market;32475;18;53021390;1207290;446634;1530857;69390;0,0617;0,7411;0,1625;0,0348
Берерград;Pharma;top100;no_market;3771639;2794;19022457;10913141;6469932;319923;68459;0,012;0,8885;0,0992;0,0003
Зоренвиль;FMCG;top100;market;9393267;2211;20692306;10943866;6681005;440922;65694;0,0849;0,6768;0,2271;0,0112
Финвилридж;Other;top100;market;17899206;2945;25334675;2016053;1367497;552662;64323;0,1326;0,736;0,1292;0,0022
Дарольоград;DIY;big;market;22851639;1242;23793019;6332424;2561032;471067;58875;0,0259;0,8198;0,1516;0,0027
Порттерчестер;Other;big;market;5864116;2304;15851967;106670;53010;289251;56024;0,0313;0,6343;0,294;0,0404
Севербринск;Pharma;top100;no_market;13831434;13254;38056424;20405426;13570759;579448;55066;0,0208;0,8895;0,0894;0,0003
Финорпорт;FMCG;top100;no_market;1759869;297;8255401;389974;115684;182926;54472;0,0255;0,8415;0,1139;0,0191
Тихвинорск;Other;big;market;11679618;2281;26568554;69396;51527;546385;54470;0,084;0,5171;0,2115;0,1874
Зоровемир;CEHAC;big;no_market;24074030;541;13374838;8153597;2368594;194506;53255;0,0093;0,9061;0,0826;0,0019
Ладтерск;;;no_market;6960080;1861;53845416;2221702;1658783;494056;52823;0;1;0;0
Южанчестер;CEHAC;top100;market;29164513;1029;30008590;17283603;16738938;268576;52624;0,0895;0,4366;0,4732;0,0008
Мирмарполис;DIY;big;no_market;3719096;716;18856464;1021055;566599;313906;50630;0,0351;0,7996;0,1578;0,0075
Скалевчестер;Other;top100;no_market;3608509;1230;35543056;24063;19572;392670;48313;0,0687;0,7227;0,1856;0,023
Портуртаун;Other;big;market;15563257;453;5801367;8;0;131258;47808;0,0147;0,9086;0,0581;0,0186
Новомпорт;FMCG;top100;market;25365010;4112;27580313;11622148;10712710;742377;47567;0,1783;0,4784;0,3387;0,0046
Клинаридж;FMCG;medium;no_market;3391770;907;16152272;137;217;646305;47300;0,0168;0,833;0,1419;0,0083
Холланск;Other;medium;no_market;2822046;293;12548089;1680;6;245091;46622;0,0623;0,626;0,1828;0,1289
Зорельинск;Other;big;market;7700162;3093;21740877;75605;17695;379608;45825;0,037;0,7129;0,1752;0,0749
Радоино;Pharma;top100;no_market;48137219;26800;38447033;25158392;22681858;839954;45754;0,0111;0,8042;0,1847;0,0001
Нордербург;FMCG;top100;no_market;462363;332;16448649;223143;96460;429612;45036;0,0578;0,5486;0,3422;0,0514
Южланбург;CEHAC;top100;no_market;10671298;651;16557653;10447042;7746354;260969;44050;0,0972;0,62;0,2815;0,0013
Лунавтаун;CEHAC;top100;market;334000000;10405;65440196;23911147;17995124;1514986;42509;0,0314;0,7032;0,2642;0,0012
Уралдорпорт;Fashion;big;no_market;7229961;974;28076097;6321675;2472351;416193;42508;0,0133;0,9243;0,0589;0,0034
Ладанчестер;Pharma;medium;no_market;2042178;1635;13630839;8837147;2887290;231989;41762;0,01;0,8481;0,1416;0,0003
Портвилово;FMCG;top100;no_market;304717;1086;17248364;547285;889987;283299;41343;0,326;0,4231;0,2044;0,0465
Лунуринск;DIY;big;market;16333156;839;8593983;1837817;322889;172388;39678;0,0068;0,9106;0,079;0,0036
Волвинельск;DIY;big;no_market;7004237;692;12480638;3743481;856141;209320;39439;0,0325;0,7924;0,1743;0,0009
Речполистан;CEHAC;big;no_market;20049601;531;10356383;8272961;655606;114183;39355;0,0229;0,8159;0,1597;0,0014
Зоронино;CEHAC;top100;no_market;4328690;413;9771416;6056894;4704006;129747;37319;0,0682;0,5591;0,372;0,0007
Даруюск;Other;big;no_market;30315304;274;10955875;665796;197447;276720;36901;0,0176;0,8705;0,1059;0,006
Орбринино;FMCG;top100;no_market;3055435;836;17526356;603743;259668;364115;36523;0,0263;0,8252;0,123;0,0254
Орилск;Home;medium;no_market;357114;604;6693414;588162;84712;143871;36304;0,0097;0,935;0,0474;0,0079
Дархолмград;DIY;big;market;2540142;296;8130957;343629;192581;197351;35777;0,0425;0,7845;0,1549;0,0181
Приуград;Other;top100;no_market;37087026;1231;14847777;23;11;341971;34898;0,0069;0,9511;0,0372;0,0048
Царучестер;Pharma;medium;no_market;9074781;4591;24617619;16797516;11160720;237974;34475;0,0666;0,5176;0,4157;0,0002
Радиркент;FMCG;top100;no_market;3567549;2098;8772251;1252398;1803966;217656;34306;0,0925;0,4437;0,4469;0,0169
Озеркартаун;Pharma;medium;no_market;654232;444;6911051;3023341;1350026;160347;34189;0,0367;0,7695;0,1538;0,04
Юждельхилл;Pharma;big;no_market;3524375;2690;19578175;7829297;6789221;337124;33979;0,0334;0,6835;0,2824;0,0007
Таонкент;CEHAC;big;no_market;44033496;499;5771513;2760691;669241;111996;33042;0,0041;0,9787;0,0172;0,0001
Лесурполис;Other;big;no_market;13013520;191;6436929;124143;13341;201281;32238;0,1044;0,8065;0,0559;0,0332
Жарвилельск;CEHAC;big;no_market;4950363;2227;3196096;187937;6965;121631;31670;0,0013;0,9762;0,0142;0,0083
Светбургистан;Other;medium;no_market;1692050;240;11692114;7489;7320;185461;30928;0,0511;0,6283;0,2268;0,0938
Южополис;DIY;top100;no_market;14226251;753;12101824;481901;372530;307824;30866;0,1166;0,6733;0,207;0,0031
Горярорск;Other;top100;no_market;9421547;564;14352881;1644240;936351;176373;30732;0,0223;0,7196;0,2536;0,0045
Жароново;FMCG;medium;no_market;886841;404;7798467;2994;142;184750;30649;0,0181;0,6875;0,2517;0,0426
Невкаристан;Other;top100;no_market;3780414;1157;17367525;15866;17387;251285;30104;0,0925;0,4797;0,2733;0,1545
Илвилвиль;FMCG;medium;no_market;485563;371;9076953;5917240;1457952;150465;29219;0,0045;0,925;0,0702;0,0003
Тихтерино;FMCG;top100;no_market;2925755;1223;20220561;995206;933435;348707;28638;0,0578;0,7478;0,1608;0,0336
Дармирпорт;Pharma;medium;no_market;5108631;1248;26461747;18835278;10754973;309438;28439;0,0685;0,598;0,3333;0,0003
Жаропорт;DIY;big;market;12244827;716;8571588;1528094;699405;182561;28402;0,0458;0,7105;0,2281;0,0156
Арерино;CEHAC;medium;no_market;4448582;1436;4456605;527494;133355;162765;27710;0,0226;0,8075;0,1479;0,0219
Ладбургкент;DIY;big;market;829015;123;6633560;288029;147257;141360;27113;0,0495;0,767;0,1708;0,0127
Таелоград;Other;big;no_market;8217269;2116;10698476;22574;15072;195321;27034;0,0235;0,7882;0,1187;0,0696
Горомоград;FMCG;medium;no_market;254486;327;9793186;222598;36941;436248;26537;0,0108;0,8358;0,0545;0,0989
Арольсково;Pharma;top100;no_market;6774174;5353;38721863;13176951;23022884;467790;25988;0,4219;0,2188;0,3589;0,0003
Солновемир;CEHAC;big;no_market;3505486;157;3171497;1753511;509351;71663;25903;0,013;0,8261;0,1594;0,0015
Чистбринкент;FMCG;top100;no_market;2016013;840;10871679;202788;141763;304909;25777;0,1736;0,4588;0,2826;0,0849
Камуринск;DIY;big;no_market;14504022;629;9873675;155253;131735;210301;25373;0,1427;0,6207;0,232;0,0047
Озерохилл;Other;medium;no_market;1193405;142;9437168;7543;11319;154327;23879;0,107;0,434;0,2529;0,2061
Яскарград;FMCG;top100;market;5825614;1461;5937704;942;929;208938;23438;0,0877;0,4788;0,2004;0,2331
Ясайград;Other;medium;no_market;1373959;233;4070908;0;0;168634;22934;0,0076;0,8439;0,0352;0,1133
Горгринкент;CEHAC;medium;no_market;1787129;25;5303093;4270585;613919;59355;22611;0,0001;0,8519;0,1478;0,0002
Долполвиль;Pharma;top100;market;32561717;16180;107060376;66940644;69199191;2125899;22458;0,005;0,8478;0,147;0,0002
Гормарбург;Other;top100;no_market;27627252;7268;27043170;11275;12633;939702;22456;0,0412;0,7194;0,1604;0,079
Мируридж;FMCG;medium;no_market;188282;237;4252408;2669732;1231044;81949;22453;0,0605;0,6867;0,2239;0,0289
Дароноград;Other;top100;market;64914750;2790;16591629;2725071;1727671;339968;22245;0,0368;0,7577;0,1986;0,007
Зордельино;Fashion;medium;no_market;64989;9;34663205;658006;1279174;337534;22066;0,485;0,2235;0,27;0,0215
Орстоград;CEHAC;top100;no_market;109000000;1568;21878348;7216608;4614958;384514;21740;0,0247;0,8118;0,1596;0,0039
Росеремир;FMCG;medium;no_market;1690651;945;5467600;1586711;1089286;126610;21523;0,0364;0,8125;0,1385;0,0126
Уралгринхилл;Other;big;no_market;632437;662;19692527;22301;20420;137894;20862;0,0427;0,7254;0,2163;0,0157
Клинайсково;FMCG;medium;no_market;875281;283;4551781;4128;1627;103191;20455;0,1611;0,3496;0,3232;0,1661
Озерайино;CEHAC;big;market;11109745;356;9437112;8046228;1541369;82917;19809;0,0032;0,8402;0,1559;0,0008
Северяртаун;FMCG;top100;no_market;22110288;711;12533041;163601;66427;302042;19716;0,0183;0,8577;0,1003;0,0238
Уралвининск;Pharma;big;no_market;1331901;1260;17628803;6987957;4847889;177422;19446;0,0387;0,4154;0,5448;0,0011
Солнайбург;Other;big;market;987162;612;12524272;175110;150036;150041;19428;0,0746;0,4986;0,3519;0,0748
Артерридж;CEHAC;big;no_market;20951895;703;13595423;8886985;4956247;145961;19255;0,005;0,8743;0,1201;0,0006
Нординбург;FMCG;big;no_market;7589055;1190;13293549;4138533;1295238;254638;19136;0,0224;0,8603;0,1053;0,012
Лунелчестер;FMCG;big;no_market;1346196;427;3149904;1431593;571011;128919;19045;0,008;0,9487;0,043;0,0003
Северавельск;CEHAC;top100;no_market;32807205;685;9017756;4407335;3796522;154792;18950;0,0484;0,6865;0,2611;0,0041
Даронельск;FMCG;big;no_market;2254733;179;5426587;2930971;1018370;74268;18948;0,0222;0,7853;0,1895;0,0029
Устомистан;Pharma;medium;no_market;1523224;924;4171106;2940533;2350096;79224;18925;0,0475;0,5179;0,4344;0,0002
Луневридж;FMCG;medium;no_market;2358800;682;5899242;1562212;883064;161458;18610;0,0201;0,8173;0,1527;0,0098
Терполск;FMCG;medium;no_market;1603690;438;5440844;9;9;198263;18449;0,0848;0,4842;0,2681;0,1629
Уралбрининск;Home;top100;market;11278982;691;15682558;93164;65613;278191;18418;0,0864;0,6141;0,0954;0,2041
Уралинтаун;Other;big;no_market;3013307;1810;9062278;264;247;328748;18320;0,1522;0,3916;0,2247;0,2315
Северорполис;Other;top100;market;14970655;632;11211137;298;184;192620;18302;0,009;0,9139;0,0746;0,0026
Ясбринтаун;Pharma;medium;market;1266602;510;7399294;5044623;2931545;111433;18207;0,0714;0,6407;0,2867;0,0012
Тиховридж;DIY;top100;no_market;122371569;6795;39040812;477645;375248;851761;18119;0,028;0,8143;0,1482;0,0096
Озеруюово;CEHAC;medium;no_market;2357708;44;1778567;870385;45298;48123;17704;0,005;0,9232;0,0534;0,0183
Финхолмсково;FMCG;big;market;957201;712;9695580;4872956;4143318;161326;17641;0,1329;0,5276;0,3337;0,0057
Доллансково;CEHAC;medium;no_market;16868679;191;2018594;1204935;110760;45787;17571;0,0039;0,9438;0,0523;0
Гореремир;CEHAC;top100;market;7410543;213;18222616;6795669;6220651;280391;17415;0,0716;0,5657;0,3612;0,0015
Тихиск;Other;big;no_market;2026770;527;14059600;12998;6893;246301;17232;0,0832;0,4979;0,207;0,2118
Царавсково;Other;medium;market;175526;31;4731677;148;114;69157;17144;0,0646;0,7129;0,1716;0,051
Ладмирпорт;Pharma;big;no_market;1836136;1422;6553302;3479811;3295747;106228;17075;0,0406;0,4723;0,4869;0,0002
Эльвилпорт;CEHAC;big;market;10764332;394;2704195;1346674;194257;60583;16842;0,0228;0,8856;0,0846;0,007
Арорбург;CEHAC;medium;no_market;9101626;239;1672144;1219268;149995;46749;16523;0,0044;0,9288;0,0631;0,0038
Чистенпорт;Home;medium;market;2534155;130;3477631;53878;18584;64222;16304;0,03;0,7473;0,1434;0,0792
Велельхилл;DIY;big;no_market;59097424;1784;10300046;811684;398240;211895;16254;0,0858;0,5799;0,3066;0,0276
Маленемир;CEHAC;big;market;5040583;216;4107550;2849590;1247465;114227;15760;0,0109;0,8971;0,0891;0,0029
Илиинск;DIY;medium;no_market;1022614;56;2096956;1109163;193461;52404;15760;0,017;0,8519;0,1131;0,0179
Новиельск;Other;big;no_market;1998227;100;3227441;78;5;90991;15535;0,0576;0,8875;0,041;0,0139
Озеронполис;CEHAC;medium;no_market;10670825;251;4909007;1687261;590587;63102;15491;0,0266;0,8526;0,1115;0,0093
Ярбринемир;CEHAC;big;no_market;77364076;2997;9715604;1866129;1929203;396329;15475;0,2637;0,3338;0,3972;0,0052
Росенино;FMCG;medium;no_market;4131913;685;4384698;0;0;157917;15225;0,0817;0,3728;0,1571;0,3884
Ладаремир;DIY;big;no_market;1379201;320;7796162;204287;63129;155702;14952;0,0471;0,7888;0,1319;0,0323
Беларорск;FMCG;big;no_market;1289125;783;4752788;874993;728959;94380;14857;0,0379;0,7193;0,2389;0,004
Лесонсково;FMCG;medium;no_market;1006000;191;6904779;14;0;108349;14722;0,0578;0,2971;0,406;0,2392
Ладиноград;DIY;big;market;660475;131;3745249;122788;93279;74131;14680;0,0398;0,7457;0,2076;0,007
Велдорино;DIY;medium;no_market;5834766;508;2384401;420252;158099;86888;14632;0,0855;0,6859;0,2164;0,0122
Невтерельск;DIY;big;no_market;8203537;133;3819946;146359;98706;114670;14550;0,0211;0,7302;0,2471;0,0016
Форилино;FMCG;medium;no_market;1771141;520;2659806;1217027;509727;81170;14485;0,0151;0,8321;0,1524;0,0005
Белуроград;FMCG;top100;no_market;391596;129;5681575;24873;14624;114422;14443;0,1537;0,3294;0,4093;0,1076
Царирбург;Pharma;big;no_market;1444964;698;12805879;5481273;3031509;222476;14287;0,0282;0,5236;0,4465;0,0016
Тихальчестер;Pharma;top100;no_market;1817138;996;1985702;1567408;776043;41325;14199;0,016;0,8264;0,1574;0,0001
Волкарорск;DIY;medium;no_market;273878;139;4046198;3682;2822;56403;14074;0,0836;0,4138;0,4398;0,0627
Белорсково;Pharma;medium;no_market;341206;94;6775382;4796663;1461542;107868;14046;0,0056;0,9204;0,0734;0,0005
Миргринсково;CEHAC;medium;no_market;890767;13;4028434;1902779;480480;76000;13919;0,0307;0,8242;0,1296;0,0156
Велинридж;CEHAC;medium;no_market;871074;62;2805211;1906000;1131483;42945;13829;0,0471;0,5734;0,3775;0,002
Светальорск;FMCG;big;market;3414207;612;3158435;291877;67414;78114;13622;0,0387;0,8323;0,1162;0,0127
Светсточестер;Other;big;no_market;18974104;1677;10810072;11293;4865;272998;13232;0,03;0,5264;0,0793;0,3643
Зорольхилл;DIY;big;no_market;8668264;667;6105991;95671;47034;148555;13194;0,1636;0,548;0,2758;0,0127
Неванград;FMCG;top100;no_market;858166;277;3551052;103331;10910;71755;13116;0,1298;0,4907;0,2929;0,0865
Эльвилск;Pharma;medium;no_market;2775413;666;7541508;4317829;2439841;77030;13013;0,1079;0,501;0,391;0,0001
Клинкарово;DIY;big;market;4848759;223;4820895;53321;32171;82550;13008;0,0729;0,774;0,1475;0,0056
Новвилбург;CEHAC;big;market;6751761;211;8073481;3672526;2279489;155231;12867;0,0215;0,8442;0,1317;0,0026
Уралуюридж;Other;medium;no_market;4174280;44;2762276;228392;51228;74636;12829;0,0285;0,6978;0,2737;0,0001
Холоринск;Fashion;small;no_market;323538;94;5517027;3262638;545591;64720;12704;0,0052;0,9068;0,0824;0,0055
Долевемир;Pharma;medium;no_market;1569856;439;6122216;2442466;2117999;63816;12567;0,0753;0,4395;0,485;0,0003
Холяринск;CEHAC;big;no_market;14444076;215;8881718;2878858;2153890;186100;12441;0,1365;0,5453;0,3071;0,0111
Малавово;Home;big;no_market;4148337;269;4827423;563770;426988;68443;12394;0,1076;0,5397;0,292;0,0607
Лесольвиль;DIY;medium;no_market;10521360;309;2437363;672661;95017;61769;12082;0,0246;0,8626;0,1074;0,0054
Росдельинск;DIY;medium;no_market;386245;65;3754112;25;0;58548;11676;0,0021;0,8626;0,1314;0,0038
Волбринск;CEHAC;nano;no_market;5923350;108;988795;176216;42942;32974;11604;0,0138;0,798;0,1882;0
Форовово;DIY;medium;no_market;5718398;182;1155144;454976;45011;38619;11580;0,0089;0,9211;0,0637;0,0064
Светгринридж;Other;big;no_market;7490652;171;3285215;138;262;80201;11450;0,0307;0,8509;0,1102;0,0083
Терайистан;DIY;big;market;1328163;173;5239471;695449;397101;87445;11439;0,0409;0,6384;0,3006;0,0201
Речмирово;Fashion;big;no_market;16055669;408;11610811;25991;28829;145109;11392;0,0595;0,7322;0,1752;0,0331
Долдорвиль;Home;top100;market;6979678;446;12388852;6262;11052;244587;11385;0,0177;0,7872;0,0671;0,128
Уралеринск;Fashion;top100;no_market;12492494;266;12292943;941963;1263552;204663;11382;0,2777;0,4149;0,2941;0,0134
Долхолмридж;CEHAC;medium;market;27438;12;1135865;682466;88544;25181;11345;0,0042;0,9713;0,0234;0,0012
Царерино;DIY;big;market;3834623;153;2095170;1065475;176463;55836;11334;0,0034;0,8428;0,153;0,0009
Финевино;Other;medium;no_market;1943637;372;3315739;104862;87307;66103;11229;0,0417;0,7874;0,1145;0,0564
Невенск;CEHAC;medium;no_market;4074765;71;2534490;1682403;620579;34309;11155;0,0363;0,7028;0,2587;0,0022
Велонкент;CEHAC;medium;market;5824494;152;1203651;989015;69513;27281;11040;0,0096;0,9336;0,0561;0,0008
Росуистан;Fashion;top100;no_market;39765190;5657;130654506;148662;174755;1010483;11005;0,2181;0,4663;0,1795;0,136
Лесхолмхилл;Other;top100;no_market;5679957;392;3860934;0;0;83719;11002;0,0303;0,8493;0,1109;0,0095
Неволькент;FMCG;big;no_market;42086;189;5186981;98721;20289;218917;10994;0,0486;0,7972;0,1356;0,0187
Волонтаун;CEHAC;medium;no_market;31675;106;5443231;296303;252558;72405;10970;0,0375;0,4341;0,1263;0,4022
Тераполис;CEHAC;big;no_market;2078257;375;2451018;1774843;1149282;41084;10857;0,038;0,6647;0,2953;0,002
Светилвиль;CEHAC;big;no_market;17095715;347;9099847;3875923;1421523;119488;10850;0,0078;0,9123;0,0778;0,002
Чистполистан;DIY;big;market;3774720;395;7045448;298400;180796;130532;10709;0,0911;0,4993;0,3705;0,0391
Горбринино;DIY;big;no_market;5405759;135;3401414;982575;263742;88838;10706;0,0532;0,7608;0,1808;0,0052
Зортертаун;Pharma;big;market;2695696;2340;18108171;7218073;11302669;281082;10689;0,0608;0,3149;0,624;0,0004
Солнполпорт;DIY;medium;no_market;55404;27;2208749;8500;2382;48615;10677;0,0371;0,8633;0,0813;0,0183
Портайистан;Other;big;no_market;5180397;234;3791032;46620;23208;66577;10670;0,0631;0,7094;0,1212;0,1064
Росмаремир;DIY;big;no_market;1981188;192;2762595;72496;46342;75590;10548;0,0418;0,7107;0,2365;0,011
Малмирвиль;CEHAC;small;no_market;3359062;171;3774680;1414770;922432;67574;10502;0,0425;0,6628;0,2881;0,0066
Ясдористан;CEHAC;medium;no_market;14666185;272;4416975;1238945;932554;107474;10441;0,1021;0,4812;0,3978;0,0189
Северонсково;FMCG;big;no_market;4188205;994;9307583;944309;398275;209041;10361;0,082;0,6427;0,2597;0,0155
Клинланино;Other;medium;market;185699;129;7280147;9236;3290;35463;10241;0,0405;0,7466;0,1782;0,0347
Тихмирбург;FMCG;big;no_market;906068;154;3090238;1869561;1579329;81209;10201;0,1583;0,3674;0,473;0,0014
Эльовино;FMCG;big;no_market;1277078;295;5403098;99658;61876;123290;10151;0,0684;0,5835;0,2904;0,0577
Тихуюорск;CEHAC;top100;no_market;17603236;302;2640640;1823397;1173793;51001;10078;0,02;0,4561;0,5214;0,0026
Лунертаун;FMCG;big;no_market;2393544;237;7318703;2352363;2214880;91388;10036;0,1231;0,538;0,3285;0,0104
Камилоград;FMCG;top100;market;2111081;2084;10739034;144945;202572;364696;9979;0,2425;0,1757;0,2603;0,3215
Чистеново;DIY;big;no_market;10777602;517;3928429;85213;36288;95061;9972;0,0836;0,4966;0,2138;0,206
Дарбургемир;Other;big;no_market;7920073;413;3532742;50957;38180;109817;9936;0,0685;0,6087;0,1624;0,1605
Царкаристан;FMCG;medium;no_market;1207434;120;6342784;3189386;1546483;99540;9838;0,0635;0,7589;0,1739;0,0038
Лесоово;Pharma;medium;no_market;227143;117;2196898;1001331;197221;58964;9820;0,0208;0,8701;0,1073;0,0017
Лесольхилл;FMCG;big;no_market;2962367;327;3304143;15;15;124894;9662;0,1846;0,4923;0,2633;0,0598
Чистехилл;Other;medium;no_market;398461;70;11169726;851289;715215;100556;9610;0,1409;0,4862;0,3369;0,036
Стардорск;Other;medium;no_market;32635;33;1008892;1;1;35742;9517;0,038;0,4269;0,1735;0,3616
Яревоград;Fashion;medium;no_market;13043;16;6086154;715745;166668;83843;9454;0,0206;0,8366;0,116;0,0267
Лескарпорт;CEHAC;big;no_market;16400681;201;6979615;5800761;414244;55129;9366;0,0132;0,8977;0,0876;0,0015
Портилкент;FMCG;big;no_market;1095060;626;4379413;616918;765501;73717;9201;0,1952;0,3989;0,4028;0,0031
Прииремир;Other;medium;market;923406;436;2355912;9534;1639;60431;9113;;0,8812;0,0509;0,0392
Береоград;FMCG;medium;no_market;505798;165;2657527;996656;558659;44536;9086;;0,7133;0,169;0,0191
Царярвиль;Other;medium;market;1821663;214;2787791;5696;601;64577;9049;;0,4743;0,223;0,2107
Солнавридж;Other;medium;no_market;9907;187;3307093;459;496;92688;9011;;0,3015;0,1705;0,3209
Лунеоград;Fashion;medium;no_market;566155;78;4959635;2655964;597152;48696;8992;;0,9048;0,0854;0,0021
Ордельск;CEHAC;medium;market;2026691;569;3397566;105232;106564;101206;8957;;0,4724;0,286;0,0552
Елвинемир;FMCG;big;no_market;436542;202;2405428;0;0;43584;8919;;0,5365;0,3637;0,0655
Илтервиль;CEHAC;small;no_market;1314816;29;987411;441423;103838;29527;8895;;0,835;0,1159;0,0001
Гораноград;CEHAC;medium;no_market;2059200;50;1897376;1485803;318507;45736;8885;;0,8598;0,1241;0,0011
Холелистан;Other;big;market;1225762;108;2547179;101642;54553;40153;8846;;0,7015;0,18;0,0717
Холуюоград;Other;big;no_market;238841;297;13419438;188;145;110867;8836;;0,9539;0,0212;0,0218
Тихбургсково;CEHAC;medium;market;6012814;185;5009455;3953287;809828;56721;8822;;0,8205;0,1758;0,0014
Елдорск;Pharma;medium;no_market;1656857;191;2327152;714247;197347;57202;8809;;0,8249;0,1272;0,0045
Яскарград-232;Pharma;big;no_market;1606600;506;10152024;1517317;3478765;101411;8782;;0,1849;0,3554;0,0028
Ярилбург;Other;big;no_market;3306864;145;4752596;13599;14187;88417;8678;;0,7478;0,1206;0,0214
